f1,f2,f3,f4,f5,label
0.8319664984841221,0.7084604880966348,0.9489934016295326,0.47388878769766507,0.12018911227823537,1
0.7104943595151502,0.42852126574675875,0.19471529164506696,0.3329269201765106,0.953003384655631,0
0.37665339149002586,0.15337404014647904,0.18001138031396746,0.35717985856838663,0.10554378042573287,0
0.7236209577725001,0.6555791338780815,0.29858467355544904,0.8847368717632358,0.8264258456927979,1
0.954335008629849,0.7145710772097817,0.02261146020133331,0.8182752012817353,0.40391060618836094,0
0.7517130878656637,0.38829828094248564,0.21739923199148858,0.46605955916156405,0.3093381507357177,0
0.2922684160477047,0.26329297989024003,0.28114731549533034,0.6423621436375347,0.293682570245842,0
0.6126852459458222,0.567073201022585,0.25588635652221414,0.8558401190085755,0.991968870169237,0
0.9100364803060171,0.7622721531687006,0.14708565862168654,0.049367496966202906,0.36413884605838454,0
0.04538487383106826,0.7800098890405397,0.5339887141473895,0.43724307926866557,0.2326631644970132,1
0.7055418719380745,0.0763022085082381,0.4331541788094212,0.6885013948791343,0.7690925976860072,1
0.30071518370936623,0.5631321378425567,0.22849527403735748,0.9406255588306579,0.3763520681086254,0
0.8381621404291383,0.4098559326227207,0.73785910329445,0.7039574755282797,0.7621812389851098,1
0.14511079992440135,0.22678620742861588,0.18561418423783205,0.6616959067296506,0.7218661056818687,0
0.536020473270135,0.21621259208467403,0.5903817172580318,0.09311456584321742,0.6305882265341729,1
0.5180410663418202,0.6950619419481476,0.2649101022076197,0.3513157904594625,0.6023845261611245,0
0.3331206796422127,0.008219718395498399,0.9681921219363426,0.2440132139961284,0.033649392293096825,0
0.2162126126688716,0.28830793983882663,0.03639287292765314,0.8251660848311677,0.6058355998239994,0
0.04934197704507837,0.06797715811622473,0.44544849917842244,0.9560634336568301,0.7469974831738012,0
0.5798676112201376,0.6126012086424535,0.22771160496188214,0.709202636834532,0.5248087588897316,0
0.9376632922440085,0.820990475263659,0.3137714314916187,0.7078448900153093,0.739282002194067,1
0.7866176023593221,0.8447547152229011,0.9811801694020669,0.12861822818419877,0.774907039539247,1
0.4700825311921386,0.2514567630284066,0.8100814051231879,0.7381717110043985,0.15567291699417352,1
0.5746982572539099,0.6022311169109775,0.1896387366555139,0.3111161478966169,0.0783532398565534,1
0.6426113102582843,0.9609145701468169,0.1628777206223162,0.4641382422873186,0.5040733529443338,0
0.35384471824594477,0.3681679893508206,0.3521049230637554,0.330953586534556,0.3648323685946112,0
0.7642909305634022,0.15845740100549977,0.20965960548858087,0.26927360304441816,0.6782780544037841,0
0.5916673389416678,0.6278019252111467,0.7824507955690045,0.9487292693500192,0.4887306791108098,1
0.7986323771323425,0.0467056244998989,0.8237548326785468,0.45353745286463665,0.9809088323936233,1
0.7078398407046277,0.8579353177029136,0.5787650857442584,0.26794999997303703,0.4628896072270421,1
0.060980151996994025,0.9951977305909501,0.41028537755961936,0.5638183445441314,0.3438561955948177,0
0.37572652335434786,0.49862917313427857,0.9703396982407041,0.3982598372743633,0.6804318230931924,1
0.22458858139067361,0.8245884959465434,0.3675610741734686,0.14648695349210095,0.0035869549232060427,0
0.08099508908377984,0.5417996431366533,0.3203288715824313,0.7317393109543808,0.27609722137473225,0
